event.id,visible,timestamp,location.long,location.lat,algorithm.marked.outlier,gps:hdop,manually.marked.outlier,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name
37385141767,true,2024.10.04 03:24:00.000,76.64004,11.57402,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141769,true,2024.10.04 03:29:00.000,76.64001,11.57404,,2.47,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141772,true,2024.10.04 03:34:00.000,76.64011,11.57397,,1.04,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141774,true,2024.10.04 03:39:00.000,76.63949,11.57417,,1.0,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141776,true,2024.10.04 03:44:00.000,76.6396,11.57419,,1.0,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141778,true,2024.10.04 03:49:00.000,76.63976,11.57405,,1.19,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141780,true,2024.10.04 03:54:00.000,76.6394,11.57419,,2.24,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141782,true,2024.10.04 03:59:00.000,76.63931,11.57403,,1.33,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141784,true,2024.10.04 04:04:00.000,76.6394,11.57397,,1.33,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141786,true,2024.10.04 04:09:00.000,76.63953,11.57394,,1.74,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141788,true,2024.10.04 04:14:00.000,76.63937,11.57392,,1.42,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141790,true,2024.10.04 04:19:00.000,76.63969,11.57392,,1.41,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141792,true,2024.10.04 04:24:00.000,76.63961,11.57402,,1.37,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141794,true,2024.10.04 04:28:00.000,76.63962,11.57406,,1.2,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141797,true,2024.10.04 04:33:00.000,76.63946,11.57404,,0.95,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141799,true,2024.10.04 04:38:00.000,76.63976,11.57409,,1.53,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141801,true,2024.10.04 04:43:00.000,76.63966,11.57418,,1.94,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141803,true,2024.10.04 04:48:00.000,76.63947,11.57404,,1.29,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141804,true,2024.10.04 04:53:00.000,76.63953,11.57409,,1.35,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141806,true,2024.10.04 04:58:00.000,76.6396,11.57396,,1.04,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141808,true,2024.10.04 05:03:00.000,76.6396,11.57394,,1.28,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141810,true,2024.10.04 05:08:00.000,76.63944,11.57412,,1.53,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141812,true,2024.10.04 05:13:00.000,76.63924,11.57373,,1.65,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141813,true,2024.10.04 05:18:00.000,76.63951,11.57402,,0.88,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141814,true,2024.10.04 05:23:00.000,76.63937,11.57407,,0.82,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
